anmerkung_gedruckt_von;anmerkung_Drucker;Drucker;gnd_Drucker;tw_id;ISNI;IDD
null;null;Hermann Bumgart;136605486;null;null;IDD-192
null;null;Johann Koelhoff d. Ä.;102507554;null;null;IDD-193
null;Drucker der 1483 Jordanus de Quedlinburg (= Georg Husner);Georg Husner;136216064;null;null;IDD-194
null;null;Konrad Fyner;116879335;null;null;IDD-195
null;null;Konrad Fyner;116879335;null;null;IDD-196
null;?;Kaspar Hochfeder;119338297;null;null;IDD-197
null;null;Johann Froschauer;131600680;null;null;IDD-198
null;null;Johann Mentlin;118783319;null;null;IDD-199
null;null;Johann Mentlin;118783319;null;null;IDD-200
null;null;Peter Schöffer;118795295;null;null;IDD-201
null;null;Matthias Hupfuff;13352583X;null;null;IDD-202
[=Ulrich Zel] (ISTC, USTC);null;Ulrich Zell;11907155X;null;null;IDD-203
null;null;Heinrich Quentell;102359229;null;null;IDD-204
null;null;Caspar Hochfeder;119338297;null;null;IDD-205
null;null;Heinrich Quentel;102359229;null;null;IDD-206
null;null;Jodocus Pflanzmann;10241498X;null;null;IDD-207
null;null;Caspar Hochfeder;119338297;null;null;IDD-208
null;null;Drucker der 'Darmstadt' Prognostication;null;null;null;IDD-209
null;null;Drucker der 'Darmstadt' Prognostication;null;null;null;IDD-210
null;null;Johann Zainer d.Ä.;118643479;null;null;IDD-211
null;null;Heinrich Petzensteiner;102952372X;null;null;IDD-212
null;null;Johann Pfeyl;13644881X;null;null;IDD-212
null;null;Simon Koch (Mentzer);136109640;null;null;IDD-213
null;null;Jacobus Wolff de Pforzheim;1012373568;null;null;IDD-214
null;?;Ludwig von Renchen;119097958;null;null;IDD-215
null;null;Simon Koch (Mentzer);136109640;null;null;IDD-216
null;null;Simon Koch (Mentzer);136109640;null;null;IDD-217
null;null;Matthaeus Brandis;135556686;null;null;IDD-218
null;null;Arnold von Köln;1037658841;null;null;IDD-219
null;null;Heinrich Quentell;102359229;null;null;IDD-220
null;null;Peter Attendorn;128973706;null;null;IDD-221
null;null;Cornelius von Zierickzee;137834020;null;null;IDD-222
(GW, USTC);null;Drucker von Augustinus, Explanatio psalmorum (GW2908);null;null;null;IDD-223
(ISTC);null;Vindelinus de Spira;1089721781;null;null;IDD-223
null;null;Michael Wenssler;134121260;null;null;IDD-224
null;null;Martin Flach;129803227;null;null;IDD-225
null;null;Jacob Eber;13573004X;null;null;IDD-226
null;null;Arnold Ther Hoernen;137661495;null;null;IDD-227
null;null;Johann Zainer d.Ä.;118643479;null;null;IDD-228
null;null;Johann Zainer d.Ä.;118643479;null;null;IDD-229
null;null;Johann Zainer d.Ä.;118643479;null;null;IDD-230
null;null;Johann Zainer d.Ä.;118643479;null;null;IDD-231
null;null;Anton Sorg;12146556X;null;null;IDD-232
null;Drucker des Salomon et Marcolphus (Ludwig von Renchen?);Ludwig von Renchen;119097958;null;null;IDD-233
null;null;Kloster Sankt Ulrich und Afra;null; of0818;null;IDD-234
null;null;Friedrich Creussner;135725259;null;null;IDD-235
null;Drucker und Verleger;Nicolas Jenson;118917153;null;null;IDD-235
null;null;Günther Zainer;118636111;null;null;IDD-236
null;null;Friedrich Creussner;135725259;null;null;IDD-237
null;null;Peter Drach;124571905 ?;null;null;IDD-238
null;null;Dürer-Schule;null;null;null;IDD-239
null;null;Hans Guldenmund;123253705;null;null;IDD-240
null;null;Guillaume Balsarin;103757270X;null;null;IDD-241
null;null;Janon Carcain;1199865656;null;null;IDD-242
André Bocard, for Jean Richard, Jean Petit, and Durand Gerlier (USTC);null;André Bocard;1037573307;null;null;IDD-243
André Bocard, for Jean Richard, Jean Petit, and Durand Gerlier (USTC);Verleger und Buchhändler;Durand Gerlier;1037571010;null;null;IDD-243
André Bocard, for Jean Richard, Jean Petit, and Durand Gerlier (USTC);Buchhändler;Jean Petit;(1) 103753445X oder (2) 1037534433;null;null;IDD-243
null;Verleger;Jean Richard;1172238073;null;null;IDD-243
null;null;Jean Du Pré;103757382X;null;null;IDD-244
null;null;Paul Hurus;136216013;null;null;IDD-245
null;null;Paul Hurus;136216013;null;null;IDD-246
null;null;Meinhard Ungut;133669548;null;null;IDD-247
null;null;Stanislaus Polonus;13046581X;null;null;IDD-247
Drucker von Rolewinck, 'Fasciculus temporum' (Jean Belot) (H 6943) (ISTC, USTC);null;Jean Belot;1037579208;null;null;IDD-248
(ISTC);null;Pierre Le Dru;1075214270;null;null;IDD-248
null;null;Fadrique de Basilea (Friedrich Biel);135660467;null;null;IDD-249
null;null;Georg Mittelhus;137197845;null;null;IDD-250
für;null;Antoine Vérard;118804162;null;null;IDD-251
null;null;Jean de Romoys;null;null;null;IDD-252
[Guillaume Desplains, or Raoul Couturier], for Guillaume Eustace (ISTC, USTC);null;Guillaume Desplains;null;null;null;IDD-253
[Guillaume Desplains, or Raoul Couturier], for Guillaume Eustace (ISTC, USTC);Drucker und Verleger;Guillaume Eustace;null;null;0000 0003 6030 1668;IDD-253
[Jean Morand] für Guillaume Eustace (GW);null;Jean Morand;null;of0788;null;IDD-253
[Guillaume Desplains, or Raoul Couturier], for Guillaume Eustace (ISTC, USTC);null;Raoul Couturier;null;null;null;IDD-253
null;null;Witwe von Michel Le Noir (GND 103762839X);null;null;null;IDD-254
per;per;Simone da Lovere;1037601408;null;null;IDD-255
null;null;sumptibus Comino da Lovere;1037601408 (?);null;null;IDD-256
null;null;Giacomo Pocatela;1037557301;null;null;IDD-257
null;null;Marcello Silber;138452873;null;null;IDD-258
per;null;Agostino Zani;1037556194;null;null;IDD-260
nelle case haer. Aldo I Manuzio & Andrea I Torresano (USTC);null;Aldo I Manuzio;118577387;null;null;IDD-261
nelle case haer. Aldo I Manuzio & Andrea I Torresano (USTC);null;Andreas Torresanus;120730030;null;null;IDD-261
per;null;Bartolomeo Zani;103757317X;null;null;IDD-262
null;null;Gregorius de Gregoriis;120750678;null;null;IDD-263
per Filippo I Giunta;null;Filippo Giunta I (Erben);6145361-4;null;null;IDD-264
null;null;Gregorius de Gregoriis;120750678;null;null;IDD-265
per;null;Bernardino I Viani;null;null;null;IDD-266
per Giovanni Antonio Nicolini da Sabbio & fratres;null;Giovanni Antonio Nicolini da Sabbio;1037557832;null;null;IDD-267
per haer. Filippo I Giunta;null;Filippo Giunta I (Erben);6145361-4;null;null;IDD-268
haer. Filippo I Giunta;null;Filippo Giunta I (Erben);6145361-4;null;null;IDD-269
null;null;Girolamo Penzio;1037399943;null;null;IDD-270
null;null;Francesco I Bindoni;1037559371;null;null;IDD-271
null;null;Maffeo Pasini;1037559363;null;null;IDD-271
per haer. Filippo I Giunta;per haer. Filippo I Giunta;Filippo Giunta I (Erben);6145361-4;null;null;IDD-272
null;null;Gregorius de Gregoriis;120750678;null;null;IDD-273
null;null;Girolamo Soncino;118615580;null;null;IDD-274
per;null;Giacomo Pocatela;1037557301;null;null;IDD-275
per;null;Alessandro Paganini;null;null;null;IDD-276
null;null;Pierre Gaudoul;null;null;0000 0001 2114 8459;IDD-277
per;null;Giorgio Rusconi;null;null;null;IDD-278
per;null;Alessandro Paganini;null;null;null;IDD-279
per;null;Alessandro Paganini;null;null;null;IDD-280
per;null;Bartolomeo Zani;103757317X;null;null;IDD-280
null;null;Arnaldus de Bruxella;118112509X;null;null;IDD-281
null;null;Bartholomäus Guldinbeck;14382824X;null;null;IDD-282
null;null;Bartholomäus Guldinbeck;14382824X;null;null;IDD-283
null;null;Gerardus de Lisa de Flandria;102501270;null;null;IDD-284
null;null;Bartholomäus Guldinbeck;14382824X;null;null;IDD-285
null;null;Nicolas Jenson (Drucker und Verleger);118917153;null;null;IDD-286
null;null;Gabriele di Pietro;129020818;null;null;IDD-287
null;null;Johannes de Renno;1172234981;null;null;IDD-288
null;null;Gerardus de Lisa de Flandria;102501270;null;null;IDD-289
null;null;Johannes Schallus;null;of1258;null;IDD-290
null;null;Albrecht Kunne;119107228;null;null;IDD-291
null;null;Albrecht Kunne;119107228;null;null;IDD-292
null;null;Giovanni Lionardo Longo;null;pe0208100;null;IDD-293
null;null;Hermann Liechtenstei;139384936;null;null;IDD-294
null;null;Bonetus Locatellus;1037496906;null;null;IDD-295
null;null;Albrecht Kunne;119107228;null;null;IDD-296
null;null;Alberto Alvise;123971241;null;null;IDD-297
null;null;Giovanni Alvise;123971047;null;null;IDD-297
null;null;Bernardinus Celerius;1037577914;null;null;IDD-298
null;null;Bernardinus Celerius;1037577914;null;null;IDD-299
null;null;Gerardus de Lisa de Flandria;102501270;null;null;IDD-300
null;null;Johannes de Renno;1172234981;null;null;IDD-301
null;null;Nel Beretin Convento della Ca Grande;null;of0028;null;IDD-302
null;null;Albrecht Kunne;119107228;null;null;IDD-303
null;null;Ugo Rugerius;129066125;null;null;IDD-304
null;null;Drucker von Sixtus IV., Bulla de reformatione confraternitatis (H 14811);null;of1696;null;IDD-305
null;null;Eucharius Silber;129070149;null;null;IDD-306
null;null;Henricus Alding;135703107;null;null;IDD-307
(GW, USTC);null;Francesco di Dino;1155872940;null;null;IDD-308
(ISTC;null;Georgius Herolt;107190292X;null;null;IDD-308
null;null;Johannes de Renno;1172234981;null;null;IDD-309
null;null;Leonardus Achates de Basilea;138093555;null;null;IDD-310
null;null;Nicolaus Laurentii, Alamanus;1037617495;null;null;IDD-311
null;null;Ugo Rugerius;129066125;null;null;IDD-312
null;null;Johannes Schallus;(tw-Identifier: of1258);null;null;IDD-313
null;null;Ulrich Han (Udalricus Gallus);102501025;null;null;IDD-314
null;null;"Drucker von ""Expositio Psalmorum""";null;null;null;IDD-315
