IDD;anmerkung;Drucker;GND_Drucker;ISNI
IDD-327;null;Martinus de Septem Arboribus;1192053249;null
IDD-328;null;Franciscus de Benedictis;1037568109;null
IDD-329;null;Stephan Plannck;101669968;null
IDD-330;null;Stephan Plannck;101669968;null
IDD-331;null;Johannes de Renno;1172234981;null
IDD-332;null;Johannes Philippus de Lignamine;115360026;null
IDD-333;null;Bartholomaeus de Valdezoccho;103765692X;null
IDD-335;null;Eucharius Silber;129070149;null
IDD-337;null;Johannes de Renno;1172234981;null
IDD-338;null;Albertus de Stendal;1032262435;null
IDD-339;null;Bonetus Locatellus;1037496906;null
IDD-339;null;Octavianus Scotus (Verleger);104090030;null
IDD-340;null;Bernardinus Rizus, Novariensis;1037620623;null
IDD-341;null;Johann Herbort;129031704;null
IDD-341;null;Johann von Köln (Buchhändler und Verleger);129032921;null
IDD-342;null;Johann von Köln (Buchhändler und Verleger);129032921;null
IDD-342;null;Johannes Manthen;102547629;null
IDD-343;null;Drucker des Duns Scotus, Quaestiones (GW 9080);null;null
IDD-344;null;Vindelinus de Spira;1089721781;null
IDD-345;null;Antoine Denidel;1237890829;null
IDD-345;null;Robert Gourmont;1171273118;null
IDD-346;null;Simon Bevilaqua;128983388;null
IDD-347;null;Leonardus Achates de Basilea;138093555;null
IDD-348;null;Gregorius de Gregoriis;120750678;null
IDD-349;null;Manfredus de Bonellis de Monteferrato;1037617010;null
IDD-350;null;Gregorius de Gregoriis;120750678;null
IDD-350;null;Johannes de Gregoriis;129998311;null
IDD-351;null;Baptista de Tortis;134140680;null
IDD-352;null;Piero Pacini (Drucker und Verleger);103756779X;null
IDD-352;(ISTC, GW);Sanctum Jacobum de Ripoli;null;null
IDD-353;null;Antonius de Strata de Cremona;1037574524;null
IDD-354;null;Johannes de Renno;1172234981;null
IDD-355;null;Antonius Zarotus;133182452;null
IDD-356;null;Balthasar Azoguidus;144056321;null
IDD-357;null;Petrus Adam de Michaelibus;(tw-Identifier: of1254);null
IDD-358;null;Christophorus Valdarfer;137784996;null
IDD-359;null;Drucker von Terentius, Comoediae (Pr 6748);null;null
IDD-360;null;Stephan Plannck;101669968;null
IDD-361;null;Bartholomäus Guldinbeck;14382824X;null
IDD-361;null;Johann Besicken;134019652;null
IDD-362;null;Stephan Plannck;101669968;null
IDD-363;null;Hermannus Liechtenstein;136671861;null
IDD-365;?;Bernardinus Benalis;128981180;null
IDD-366;null;Johannes Petri;1037553020;null
IDD-366;null;Lorenzo Morgiani;1071997122;null
IDD-367;null;Henricus de Colonia;133668096;null
IDD-368;null;Franciscus de Cennis;1172038414;null
IDD-369;null;Johannes Petri;1037553020;null
IDD-369;null;Lorenzo Morgiani;1071997122;null
IDD-370;null;Johann Emerich;134148231;null
IDD-370;null;Lucantonio Giunta (Verleger);103754479X;null
IDD-371;null;"Drucker von ""Expositio Psalmorum"" (ISTC)";null;null
IDD-371;GW;Ludovicus und Albertus Pedemontanus ;null;null
IDD-372;null;Bonetus Locatellus;1037496906;null
IDD-373;null;Franz Renner;138332290;null
IDD-374;null;Johann Herbort;129031704;null
IDD-375;Paganinus de Paganinis;Bernardinus Benalis;128981180;null
IDD-376;Z.L. (i.e. Giovanni Lionardo Longo);Giovanni Lionardo Longo;(tw-Identifier: pe0208100);null
IDD-377;null;Heinrich von Neuss;136407978;null
IDD-378;Beat(us) murner võ Strasbourg;Beatus Murner;102843422;null
IDD-379;null;Matthias Schürer (Erben);6146044-8;null
IDD-380;null;Martin Landsberg;104296801;null
IDD-382;null;Alfonso Fernández de Córdoba;1078509042;null
IDD-382;null;Gabriel Luis de Arinyo;(tw-id: pe0116800);0000 0001 1907 2424
IDD-383;null;Erhard Oeglin;13056267X;null
IDD-384;null;Johannes Landen;118884719;null
IDD-385;null;Paul Hurus;136216013;null
IDD-386;null;Paul Hurus;136216013;null
IDD-387;null;Eberhard Schön;null;null
IDD-392;null;Leonhard Aurl;1037618025;null
IDD-393;null;Friedrich Creussner;135725259;null
IDD-398;null;Bonetus Locatelus;1037496906;null
IDD-403;null;Johannes Landen;118884719;null
IDD-404;null;Lucas Cranach d. Ä.;118522582;0000 0001 2131 9721
IDD-405;null;Lucas Cranach d. Ä.;118522582;0000 0001 2131 9721
IDD-406;null;Hans Wandereisen;131659448;null
IDD-407;null;Hans Weiditz;118806491;0000 0004 3506 7555
IDD-411;null;Ulrich Zell;11907155X;(1) 0000 0003 9705 9940. (2) 0000 0000 6423 5686
IDD-412;null;Jost de Negker;122072766;0000 0004 2338 5409
IDD-413;null;Jost de Negker;122072766;0000 0004 2338 5409
