IDD,anmerkung,Datum
IDD-164,"(1) 1493-00-00, nicht nach oder (2) 1490-00-00--1495-00-00, um","1493-00-00, nicht nach"
IDD-147,null,1494-00-00
IDD-220,"(1) 1495-00-00, um (ISTC, GW) oder (2) 1494-00-00--1500-00-00 (USTC)",1494-00-00--1500-00-00
IDD-219,null,"1494-00-00, um"
IDD-365,null,"1494-00-00, um"
IDD-214,"(1) 1492-00-00--1493-00-00, um (ISTC) oder (2) 1492-10-24, nicht vor (GW) oder (3) 1494-00-00, um?","1494-00-00, um"
IDD-148,null,1495-00-00
IDD-207,null,1495-00-00
IDD-197,"(1) 1497-00-00, um (GW) oder (2) 1500-00-00, um (ISTC) oder (3) 1495-00-00 (Schöner)",1495-00-00
IDD-248,null,"1495-00-00, nach"
IDD-178,"(1) 1491-00-00, um (ISTC) oder (2) 1495-00-00, um (GW)","1495-00-00, um"
IDD-179,"(1) 1491-00-00, um (ISTC) oder (2) 1495-00-00, um (GW)","1495-00-00, um"
IDD-360,"(1) 1491-00-00--1500-00-00 (ISTC) oder (2) 1495-00-00, um (GW)","1495-00-00, um"
IDD-220,"(1) 1495-00-00, um (ISTC, GW) oder (2) 1494-00-00--1500-00-00 (USTC)","1495-00-00, um"
IDD-194,null,1496-00-00
IDD-027,null,"1496-00-00, um"
IDD-170,"1496-00-00, um ?","1496-00-00, um"
IDD-183,null,"1496-03-31, nach"
IDD-369,null,"1496-08-28, nach"
IDD-249,null,1497-00-00
IDD-146,null,1497-00-00
IDD-250,null,1497-00-00--1500-00-00
IDD-206,"(1) 1499-00-00 oder (2) 1497-00-00, nicht nach","1497-00-00, nicht nach"
IDD-185,null,"1497-00-00, nicht nach"
IDD-398,null,"1497-00-00, nicht vor"
IDD-197,"(1) 1497-00-00, um (GW) oder (2) 1500-00-00, um (ISTC) oder (3) 1495-00-00 (Schöner)","1497-00-00, um"
IDD-208,null,1498-00-00
IDD-211,null,"1498-00-00--1502-00-00, um"
IDD-167,null,"1498-00-00, um"
IDD-206,"(1) 1499-00-00 oder (2) 1497-00-00, nicht nach",1499-00-00
IDD-149,null,1499-00-00
IDD-150,null,"1499-00-00, um"
IDD-251,null,1499-10-00--1503-05-30
IDD-399,1. Hälfte des 16. Jahrhunderts,1500-00-00--1550-00-00
IDD-254,"(1) 1521-00-00 (ISTC) oder (2) 1500-00-00, nach (GW)","1500-00-00, nach"
IDD-401,Ende des 15. Jahrhunderts,"1500-00-00, um"
IDD-197,"(1) 1497-00-00, um (GW) oder (2) 1500-00-00, um (ISTC) oder (3) 1495-00-00 (Schöner)","1500-00-00, um"
IDD-402,Ende des 15. Jahrhunderts,"1500-00-00, um"
IDD-253,"(1) 1500-00-00, um (GW) oder (2) 1511-00-00--1512-00-00, um (ISTC, USTC)","1500-00-00, um"
IDD-202,"(1) 1500-00-00, um oder (2) 1512-00-00--1515-00-00 (USTC)","1500-00-00, um"
IDD-364,"(1) 1505-00-00 oder (2) 1500-00-00, um","1500-00-00, um"
IDD-026,null,"1500-00-00, um"
IDD-198,null,"1500-00-00, um"
IDD-222,null,"1500-00-00, um"
IDD-400,null,"1500-00-00, um"
IDD-057,null,1502-00-00
IDD-120,null,1502-00-00
IDD-078,null,1504-00-00
IDD-262,null,1504-00-00
IDD-364,"(1) 1505-00-00 oder (2) 1500-00-00, um",1505-00-00
IDD-080,null,1505-00-00
IDD-114,null,1505-00-00
IDD-239,null,"1505-00-00, um"
IDD-022,null,1506-00-00
IDD-075,null,1506-00-00
IDD-076,null,1506-00-00
IDD-077,null,1506-00-00
IDD-135,null,1506-00-00
IDD-124,null,1506-00-00--1508-00-00
IDD-015,null,1507-00-00
IDD-125,null,1507-00-00
IDD-126,null,1507-00-00
IDD-257,null,1507-00-00
IDD-016,null,1508-00-00
IDD-023,null,1508-00-00
IDD-069,null,1508-00-00
IDD-106,null,1508-00-00
IDD-107,null,1508-00-00
IDD-108,null,1508-00-00
IDD-110,null,1508-00-00
IDD-112,null,1508-00-00
IDD-113,null,1508-00-00
IDD-122,null,1508-00-00
IDD-127,null,1508-00-00
IDD-403,null,1508-00-00
IDD-020,null,1509-00-00
IDD-055,null,1509-00-00
IDD-074,null,1509-00-00
IDD-116,null,1509-00-00
IDD-404,null,1509-00-00
IDD-405,null,1509-00-00
IDD-105,null,1509-02-00
IDD-102,null,1509-03-00
IDD-017,null,1510-00-00
IDD-018,null,1510-00-00
IDD-063,null,1510-00-00
IDD-088,null,1510-00-00
IDD-089,null,1510-00-00
IDD-091,null,1510-00-00
IDD-092,null,1510-00-00
IDD-093,null,1510-00-00
IDD-094,null,1510-00-00
IDD-111,null,1510-00-00
IDD-138,null,1510-00-00
IDD-255,null,1510-00-00
IDD-275,null,1510-00-00
IDD-380,null,1510-00-00
IDD-273,null,1510-00-00--1519-00-00
IDD-348,null,"1510-00-00, um"
IDD-377,null,1510-03-00
IDD-004,null,1511-00-00
IDD-098,null,1511-00-00
IDD-073,null,1511-00-00
IDD-072,null,1511-00-00
IDD-071,null,1511-00-00
IDD-035,null,1511-00-00
IDD-019,null,1511-00-00
IDD-005,null,1511-00-00
IDD-090,(1) 1515-00-00 oder (2) 1516-00-00 oder (3) 1511-00-00,1511-00-00
IDD-051,null,1511-00-00
IDD-253,"(1) 1500-00-00, um (GW) oder (2) 1511-00-00--1512-00-00, um (ISTC, USTC)","1511-00-00--1512-00-00, um"
IDD-001,null,1512-00-00
IDD-030,null,
IDD-033,null,
IDD-047,null,
IDD-052,null,
IDD-064,null,
IDD-096,null,
IDD-097,null,
IDD-121,null,
IDD-131,null,
IDD-132,null,
IDD-378,null,
IDD-202,"(1) 1500-00-00, um oder (2) 1512-00-00--1515-00-00 (USTC)",1512-00-00--1515-00-00
IDD-044,null,1513-00-00
IDD-011,null,1514-00-00
IDD-070,null,1514-00-00
IDD-117,null,1514-00-00
IDD-119,null,1514-00-00
IDD-129,null,1514-00-00
IDD-276,null,1514-00-00
IDD-279,null,1514-00-00
IDD-090,(1) 1515-00-00 oder (2) 1516-00-00 oder (3) 1511-00-00,1515-00-00
IDD-006,null,1515-00-00
IDD-045,null,1515-00-00
IDD-082,null,1515-00-00
IDD-086,null,1515-00-00
IDD-099,null,1515-00-00
IDD-136,null,1515-00-00
IDD-258,null,1515-00-00
IDD-090,(1) 1515-00-00 oder (2) 1516-00-00 oder (3) 1511-00-00,1516-00-00
IDD-054,null,1516-00-00
IDD-062,null,1516-00-00
IDD-128,null,1516-00-00
IDD-263,null,1516-00-00
IDD-264,null,1516-00-00
IDD-280,null,1516-00-00
IDD-046,null,1517-00-00
IDD-012,null,1518-00-00
IDD-095,null,1518-00-00
IDD-100,null,1518-00-00
IDD-118,null,1518-00-00
IDD-259,null,1518-00-00
IDD-260,null,1518-00-00
IDD-274,null,1518-00-00
IDD-278,null,1518-00-00
IDD-137,(1) 1519-00-00 (VD16) oder (2) 1520-00-00,1519-00-00
IDD-007,null,1519-00-00
IDD-056,null,1519-00-00
IDD-061,null,1519-00-00
IDD-087,null,1519-00-00
IDD-101,null,1519-00-00
IDD-133,null,1519-00-00
IDD-137,(1) 1519-00-00 (VD16) oder (2) 1520-00-00,1520-00-00
IDD-003,null,1520-00-00
IDD-008,null,1520-00-00
IDD-009,null,1520-00-00
IDD-035,null,1520-00-00
IDD-032,null,1520-00-00
IDD-053,null,1520-00-00
IDD-406,null,"1520-00-00, um"
IDD-254,"(1) 1521-00-00 (ISTC) oder (2) 1500-00-00, nach (GW)",1521-00-00
IDD-050,[1560-00-00],1521-00-00
